temperature,parser,scheduled_trials,valid_trials,valid_rate,correct_trials,trial_accuracy,trial_accuracy_ci95_low,trial_accuracy_ci95_high,items,modal_correct_items,modal_item_accuracy,mean_repetition_stability
0.0,published,1098,1098,1.0,730,0.6648451730418944,0.636392314069326,0.6921485999633066,366,243,0.6639344262295082,0.9972677595628415
0.0,strict,1098,1098,1.0,730,0.6648451730418944,0.636392314069326,0.6921485999633066,366,243,0.6639344262295082,0.9972677595628415
0.1,published,1098,1098,1.0,726,0.6612021857923497,0.6326881132585779,0.6885922280882505,366,243,0.6639344262295082,0.9918032786885246
0.1,strict,1098,1098,1.0,726,0.6612021857923497,0.6326881132585779,0.6885922280882505,366,243,0.6639344262295082,0.9918032786885246
0.2,published,1098,1098,1.0,727,0.6621129326047359,0.6336139903795331,0.6894814941387463,366,243,0.6639344262295082,0.98816029143898
0.2,strict,1098,1098,1.0,727,0.6621129326047359,0.6336139903795331,0.6894814941387463,366,243,0.6639344262295082,0.98816029143898
0.3,published,1098,1098,1.0,723,0.6584699453551912,0.6299111710549959,0.6859237407774793,366,240,0.6557377049180327,0.9754098360655737
0.3,strict,1098,1098,1.0,723,0.6584699453551912,0.6299111710549959,0.6859237407774793,366,240,0.6557377049180327,0.9754098360655737
0.4,published,1098,1098,1.0,716,0.6520947176684881,0.6234356311964867,0.6796932784358317,366,238,0.6502732240437158,0.9744990892531876
0.4,strict,1098,1098,1.0,716,0.6520947176684881,0.6234356311964867,0.6796932784358317,366,238,0.6502732240437158,0.9744990892531876
0.5,published,1098,1098,1.0,732,0.6666666666666666,0.6382451091099837,0.6939260912655507,366,242,0.6612021857923497,0.9672131147540983
0.5,strict,1098,1098,1.0,732,0.6666666666666666,0.6382451091099837,0.6939260912655507,366,242,0.6612021857923497,0.9672131147540983
0.6,published,1098,1098,1.0,714,0.6502732240437158,0.6215864957834413,0.6779121275059748,366,241,0.6584699453551912,0.9635701275045537
0.6,strict,1098,1098,1.0,714,0.6502732240437158,0.6215864957834413,0.6779121275059748,366,241,0.6584699453551912,0.9635701275045537
0.7,published,1098,1098,1.0,726,0.6612021857923497,0.6326881132585779,0.6885922280882505,366,242,0.6612021857923497,0.9553734061930784
0.7,strict,1098,1098,1.0,726,0.6612021857923497,0.6326881132585779,0.6885922280882505,366,242,0.6612021857923497,0.9553734061930784
0.8,published,1098,1098,1.0,716,0.6520947176684881,0.6234356311964867,0.6796932784358317,366,242,0.6612021857923497,0.9508196721311475
0.8,strict,1098,1098,1.0,716,0.6520947176684881,0.6234356311964867,0.6796932784358317,366,242,0.6612021857923497,0.9508196721311475
0.9,published,1098,1097,0.9990892531876139,716,0.6526891522333638,0.624025927901448,0.6802867388461125,366,240,0.6557377049180327,0.9508196721311475
0.9,strict,1098,1097,0.9990892531876139,716,0.6526891522333638,0.624025927901448,0.6802867388461125,366,240,0.6557377049180327,0.9508196721311475
1.0,published,1098,1098,1.0,729,0.6639344262295082,0.6354660905556112,0.6912596803055703,366,243,0.6639344262295082,0.9417122040072861
1.0,strict,1098,1098,1.0,729,0.6639344262295082,0.6354660905556112,0.6912596803055703,366,243,0.6639344262295082,0.9417122040072861
