temperature,parser,content_type,scheduled_trials,valid_trials,correct_trials,trial_accuracy,trial_accuracy_ci95_low,trial_accuracy_ci95_high,items,modal_correct_items,modal_item_accuracy,mean_repetition_stability
0.4,published,others,33,33,23,0.696969696969697,0.5266186485419944,0.8262446857594641,11,8,0.7272727272727273,0.9696969696969696
0.4,published,symbol,285,285,206,0.7228070175438597,0.6681384936179737,0.7715490793451534,95,68,0.7157894736842105,0.9859649122807018
0.4,strict,consistent,474,474,325,0.6856540084388185,0.6425089463070879,0.7258140544521292,158,109,0.689873417721519,0.9767932489451477
0.4,strict,inconsistent,306,306,162,0.5294117647058824,0.47346884637172165,0.5846253804903351,102,53,0.5196078431372549,0.9607843137254902
0.4,strict,others,33,33,23,0.696969696969697,0.5266186485419944,0.8262446857594641,11,8,0.7272727272727273,0.9696969696969696
0.4,strict,symbol,285,285,206,0.7228070175438597,0.6681384936179737,0.7715490793451534,95,68,0.7157894736842105,0.9859649122807018
0.5,published,consistent,474,474,326,0.6877637130801688,0.6446771729964286,0.7278313164077798,158,108,0.6835443037974683,0.9641350210970465
0.5,published,inconsistent,306,306,169,0.5522875816993464,0.4962673011171785,0.6070113244153668,102,56,0.5490196078431373,0.9542483660130718
0.5,published,others,33,33,25,0.7575757575757576,0.5897538017044264,0.8716828662282499,11,8,0.7272727272727273,0.9696969696969696
0.5,published,symbol,285,285,212,0.743859649122807,0.6901732626790298,0.7910595927688022,95,70,0.7368421052631579,0.9859649122807018
0.5,strict,consistent,474,474,326,0.6877637130801688,0.6446771729964286,0.7278313164077798,158,108,0.6835443037974683,0.9641350210970465
0.5,strict,inconsistent,306,306,169,0.5522875816993464,0.4962673011171785,0.6070113244153668,102,56,0.5490196078431373,0.9542483660130718
0.5,strict,others,33,33,25,0.7575757575757576,0.5897538017044264,0.8716828662282499,11,8,0.7272727272727273,0.9696969696969696
0.5,strict,symbol,285,285,212,0.743859649122807,0.6901732626790298,0.7910595927688022,95,70,0.7368421052631579,0.9859649122807018
0.6,published,consistent,474,474,318,0.6708860759493671,0.6273587113586898,0.7116658688855897,158,108,0.6835443037974683,0.9641350210970465
0.6,published,inconsistent,306,306,166,0.5424836601307189,0.4864822957150989,0.5974315875300941,102,56,0.5490196078431373,0.9640522875816993
0.6,published,others,33,33,25,0.7575757575757576,0.5897538017044264,0.8716828662282499,11,8,0.7272727272727273,0.8787878787878788
0.6,published,symbol,285,285,205,0.7192982456140351,0.6644799089640872,0.7682834502515892,95,69,0.7263157894736842,0.9719298245614034
0.6,strict,consistent,474,474,318,0.6708860759493671,0.6273587113586898,0.7116658688855897,158,108,0.6835443037974683,0.9641350210970465
0.6,strict,inconsistent,306,306,166,0.5424836601307189,0.4864822957150989,0.5974315875300941,102,56,0.5490196078431373,0.9640522875816993
0.6,strict,others,33,33,25,0.7575757575757576,0.5897538017044264,0.8716828662282499,11,8,0.7272727272727273,0.8787878787878788
0.6,strict,symbol,285,285,205,0.7192982456140351,0.6644799089640872,0.7682834502515892,95,69,0.7263157894736842,0.9719298245614034
0.7,published,consistent,474,474,329,0.6940928270042194,0.6511878303636712,0.7338771249755104,158,111,0.7025316455696202,0.9599156118143459
0.7,published,inconsistent,306,306,166,0.5424836601307189,0.4864822957150989,0.5974315875300941,102,55,0.5392156862745098,0.9313725490196079
0.7,published,others,33,33,24,0.7272727272727273,0.5578244099712737,0.8493255911457935,11,8,0.7272727272727273,0.9393939393939394
0.7,published,symbol,285,285,207,0.7263157894736842,0.6718009644121317,0.7748108222984462,95,68,0.7157894736842105,0.9754385964912281
0.7,strict,consistent,474,474,329,0.6940928270042194,0.6511878303636712,0.7338771249755104,158,111,0.7025316455696202,0.9599156118143459
0.7,strict,inconsistent,306,306,166,0.5424836601307189,0.4864822957150989,0.5974315875300941,102,55,0.5392156862745098,0.9313725490196079
0.7,strict,others,33,33,24,0.7272727272727273,0.5578244099712737,0.8493255911457935,11,8,0.7272727272727273,0.9393939393939394
0.7,strict,symbol,285,285,207,0.7263157894736842,0.6718009644121317,0.7748108222984462,95,68,0.7157894736842105,0.9754385964912281
0.8,published,consistent,474,474,319,0.6729957805907173,0.6295201352054203,0.7136899336838503,158,107,0.6772151898734177,0.9556962025316456
0.8,published,inconsistent,306,306,166,0.5424836601307189,0.4864822957150989,0.5974315875300941,102,56,0.5490196078431373,0.9379084967320261
0.8,published,others,33,33,24,0.7272727272727273,0.5578244099712737,0.8493255911457935,11,9,0.8181818181818182,0.8484848484848485
0.8,published,symbol,285,285,207,0.7263157894736842,0.6718009644121317,0.7748108222984462,95,70,0.7368421052631579,0.968421052631579
0.8,strict,consistent,474,474,319,0.6729957805907173,0.6295201352054203,0.7136899336838503,158,107,0.6772151898734177,0.9556962025316456
0.8,strict,inconsistent,306,306,166,0.5424836601307189,0.4864822957150989,0.5974315875300941,102,56,0.5490196078431373,0.9379084967320261
0.8,strict,others,33,33,24,0.7272727272727273,0.5578244099712737,0.8493255911457935,11,9,0.8181818181818182,0.8484848484848485
0.8,strict,symbol,285,285,207,0.7263157894736842,0.6718009644121317,0.7748108222984462,95,70,0.7368421052631579,0.968421052631579
0.9,published,consistent,474,474,325,0.6856540084388185,0.6425089463070879,0.7258140544521292,158,108,0.6835443037974683,0.9535864978902953
0.9,published,inconsistent,306,306,168,0.5490196078431373,0.49300325143995816,0.603820459996803,102,56,0.5490196078431373,0.9477124183006537
0.9,published,others,33,32,22,0.6875,0.5143332169904459,0.8204745836639026,11,8,0.7272727272727273,0.9090909090909091
0.9,published,symbol,285,285,201,0.7052631578947368,0.6498835745154942,0.7551829297103788,95,68,0.7157894736842105,0.9543859649122808
0.9,strict,consistent,474,474,325,0.6856540084388185,0.6425089463070879,0.7258140544521292,158,108,0.6835443037974683,0.9535864978902953
0.9,strict,inconsistent,306,306,168,0.5490196078431373,0.49300325143995816,0.603820459996803,102,56,0.5490196078431373,0.9477124183006537
0.9,strict,others,33,32,22,0.6875,0.5143332169904459,0.8204745836639026,11,8,0.7272727272727273,0.9090909090909091
0.9,strict,symbol,285,285,201,0.7052631578947368,0.6498835745154942,0.7551829297103788,95,68,0.7157894736842105,0.9543859649122808
1.0,published,consistent,474,474,321,0.6772151898734177,0.6338458587671415,0.7177351874121113,158,110,0.6962025316455697,0.9451476793248946
1.0,published,inconsistent,306,306,175,0.5718954248366013,0.5159019229068968,0.6261061872003528,102,56,0.5490196078431373,0.9248366013071895
1.0,published,others,33,33,24,0.7272727272727273,0.5578244099712737,0.8493255911457935,11,9,0.8181818181818182,0.9090909090909091
1.0,published,symbol,285,285,209,0.7333333333333333,0.67913774818645,0.7813224660190294,95,68,0.7157894736842105,0.9578947368421052
1.0,strict,consistent,474,474,321,0.6772151898734177,0.6338458587671415,0.7177351874121113,158,110,0.6962025316455697,0.9451476793248946
1.0,strict,inconsistent,306,306,175,0.5718954248366013,0.5159019229068968,0.6261061872003528,102,56,0.5490196078431373,0.9248366013071895
1.0,strict,others,33,33,24,0.7272727272727273,0.5578244099712737,0.8493255911457935,11,9,0.8181818181818182,0.9090909090909091
1.0,strict,symbol,285,285,209,0.7333333333333333,0.67913774818645,0.7813224660190294,95,68,0.7157894736842105,0.9578947368421052
